earthquake name,records name,earthquake date,earthquake time,lat,long,depth,mag,stn_code,stn_lat,stn_long,stn_height,rcd_date,rcd_time,frequency,rcd_duration,direction,scale_factor,max_pga,epi_dist,pick_index_manually,pick_index_kalkan,snr_db_kalkan,tc_5sec,tc_4sec,tc_3sec,tc_2sec,tc_1sec,Pd_5sec,Pd_4sec,Pd_3sec,Pd_2sec,Pd_1sec,Pga_5sec,Pga_4sec,Pga_3sec,Pga_2sec,Pga_1sec,Channel,Scale_factor,PGA_ew,Channel.1,Scale_factor.1,PGA_ns
19990101233000.knt,FKO0089901012330.UD,1999-01-01, 23:30:00,33.32,131.348,9,3.7,FKO008,33.5716,130.8539,91,1999-01-01, 23:30:21,100Hz,119,U-D,0.0002384185791015625,1.643,53.705773854902226,0,-100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E-W,0.0002384185791015625,2.31,N-S,0.0002384185791015625,3.905
19990101233000.knt,OIT0029901012330.UD,1999-01-01, 23:30:00,33.32,131.348,9,3.7,OIT002,33.5685,131.2678,9,1999-01-01, 23:30:11,100Hz,119,U-D,0.0002384185791015625,4.057,28.61635761161313,1387,1401.0,29.957554767757124,0.7021452817687489,0.5292215228576256,0.460174057998705,0.43863778671521847,0.4536173154791638,0.005349376135149835,0.003715864725885636,0.003715864725885636,0.003715864725885636,0.003715864725885636,4.043327538029686,3.5687531431672923,3.5687531431672923,3.5687531431672923,3.5687531431672923,E-W,0.0002384185791015625,5.967,N-S,0.0002384185791015625,8.662
19990101233000.knt,OIT0039901012330.UD,1999-01-01, 23:30:00,33.32,131.348,9,3.7,OIT003,33.5583,131.4489,6,1999-01-01, 23:30:14,100Hz,119,U-D,0.0002384185791015625,3.036,28.10311786690285,0,-100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E-W,0.0002384185791015625,12.194,N-S,0.0002384185791015625,7.858
19990101233000.knt,OIT0049901012330.UD,1999-01-01, 23:30:00,33.32,131.348,9,3.7,OIT004,33.5666,131.7378,7,1999-01-01, 23:30:19,100Hz,119,U-D,0.0002384185791015625,1.367,45.38688486580483,844,822.0000000000001,18.777714758308502,1.2226565576703106,1.0649300275540179,0.8919464232295129,1.0364988530220491,1.1546811205464176,0.001007937992766104,0.0010042708877146028,0.0010042708877146028,0.0010042708877146028,0.0010042708877146028,0.8229958432048257,0.8229958432048257,0.8229958432048257,0.8229958432048257,0.8229958432048257,E-W,0.0002384185791015625,3.548,N-S,0.0002384185791015625,3.793
19990101233000.knt,OIT0059901012330.UD,1999-01-01, 23:30:00,33.32,131.348,9,3.7,OIT005,33.4549,131.1142,113,1999-01-01, 23:30:11,100Hz,119,U-D,0.0002384185791015625,3.707,26.38557214079701,1354,1353.0,23.33115546029419,3.561825529332629,4.34537866908533,3.9040227379512467,2.33230461465083,0.8664877422422891,0.012797557740103062,0.012282633248398,0.012282633248398,0.007951306238846195,0.003293858279834824,3.69925311296314,2.3660592220767143,1.4690748071511444,1.4690748071511444,1.4690748071511444,E-W,0.0002384185791015625,19.163,N-S,0.0002384185791015625,15.509
19990101233000.knt,OIT0069901012330.UD,1999-01-01, 23:30:00,33.32,131.348,9,3.7,OIT006,33.4211,131.3172,88,1999-01-01, 23:30:10,100Hz,119,U-D,0.0002384185791015625,7.649,11.599945241400421,1210,1218.0,30.73134573294492,1.2914714651592134,1.2646284498496776,0.8547163188886864,0.70579544578174,0.6760378035898156,0.014971887423513403,0.014971887423513403,0.012105276925974772,0.012105276925974772,0.012105276925974772,7.581527482035909,7.581527482035909,7.581527482035909,7.581527482035909,7.581527482035909,E-W,0.0002384185791015625,16.331,N-S,0.0002384185791015625,23.651
19990101233000.knt,OIT0079901012330.UD,1999-01-01, 23:30:00,33.32,131.348,9,3.7,OIT007,33.4152,131.6148,24,1999-01-01, 23:30:14,100Hz,119,U-D,0.0002384185791015625,1.462,26.94313625048333,1063,1061.0,20.59303545413008,1.3033414798218361,1.6055025626594182,1.89645909721838,2.2815597401475927,1.9342581799975895,0.004232436163580485,0.004232436163580485,0.004232436163580485,0.003381257700973218,0.003381257700973218,1.4641373661003334,1.4641373661003334,1.125719610117584,1.125719610117584,1.125719610117584,E-W,0.0002384185791015625,2.495,N-S,0.0002384185791015625,3.199
19990101233000.knt,OIT0099901012330.UD,1999-01-01, 23:30:00,33.32,131.348,9,3.7,OIT009,33.2569,131.3439,458,1999-01-01, 23:30:07,100Hz,119,U-D,0.0002384185791015625,18.182,7.0267417792399876,1429,1449.0,20.372213861508804,0.7188767794333017,0.696082232398599,0.6987879759235315,0.8045452939459423,0.47668903471039936,0.04944382175610824,0.038907121516912606,0.038907121516912606,0.02992352893329,0.013223929441113873,18.187788443732323,18.187788443732323,18.187788443732323,18.187788443732323,13.045496424891606,E-W,0.0002384185791015625,29.011,N-S,0.0002384185791015625,24.873
19990102012000.knt,CHB0109901020120.UD,1999-01-02, 01:20:00,36.22,141.697,52,5.0,CHB010,35.7077,140.568,8,1999-01-02, 01:20:08,100Hz,119,U-D,0.0002384185791015625,0.956,116.48727052669445,0,1.0,3.9165417953524355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E-W,0.0002384185791015625,2.314,N-S,0.0002384185791015625,1.998
19990102012000.knt,FKS0089901020120.UD,1999-01-02, 01:20:00,36.22,141.697,52,5.0,FKS008,37.4363,140.5668,430,1999-01-02, 01:20:23,100Hz,119,U-D,0.0002384185791015625,0.491,168.55083526914274,0,-100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E-W,0.0002384185791015625,2.281,N-S,0.0002384185791015625,2.285
